algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,0,8644,115,160,0.20884490013122559,True
DFS,0,1196,1077,3008,0.19737577438354492,True
UCS,0,5114,115,160,0.03921103477478027,True
A*,0,7527,115,160,0.04689502716064453,True
DFS Limited,0,1196,1077,3008,0.2039477825164795,True
Random,0,470,2001,4979,0.0,False
BFS,1,8076,117,234,0.11137843132019043,True
DFS,1,1728,915,2614,0.2357797622680664,True
UCS,1,4886,117,234,0.046866655349731445,True
A*,1,6378,117,234,0.06308889389038086,True
DFS Limited,1,1728,915,2614,0.27478575706481934,True
Random,1,556,2001,4922,0.0,False
BFS,2,5256,95,290,0.06297516822814941,True
DFS,2,361,361,1088,0.031603336334228516,True
UCS,2,7268,95,290,0.06818747520446777,True
A*,2,3510,95,290,0.035071611404418945,True
DFS Limited,2,361,361,1088,0.03177189826965332,True
Random,2,425,2001,5056,0.0,False
BFS,3,3763,76,154,0.04528522491455078,True
DFS,3,301,270,724,0.015654802322387695,True
UCS,3,2137,76,154,0.0,True
A*,3,1757,76,154,0.006035327911376953,True
DFS Limited,3,301,270,724,0.011680126190185547,True
Random,3,538,2001,4987,0.0,False
BFS,4,1602,42,112,0.00953531265258789,True
DFS,4,1178,1122,3268,0.15810608863830566,True
UCS,4,4959,42,112,0.04683351516723633,True
A*,4,834,42,112,0.0,True
DFS Limited,4,1178,1122,3268,0.20995426177978516,True
Random,4,169,605,1577,0.0010502338409423828,True
BFS,5,6992,74,170,0.1338508129119873,True
DFS,5,1097,508,1452,0.07881331443786621,True
UCS,5,4186,74,170,0.03124260902404785,True
A*,5,3546,74,170,0.015621185302734375,True
DFS Limited,5,1097,508,1452,0.07979059219360352,True
Random,5,484,2001,4968,0.0,False
BFS,6,7379,91,127,0.10975217819213867,True
DFS,6,958,827,2323,0.12616968154907227,True
UCS,6,3944,91,127,0.03124523162841797,True
A*,6,4260,91,127,0.032114505767822266,True
DFS Limited,6,958,827,2323,0.1356339454650879,True
Random,6,528,2001,4965,0.0,False
BFS,7,4070,82,201,0.04710984230041504,True
DFS,7,1832,962,2763,0.15038418769836426,True
