algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,0,1143,32,122,0.0,True
DFS,0,8365,404,1198,0.9917862415313721,True
UCS,0,4963,32,122,0.04922080039978027,True
A*,0,518,32,122,0.0,True
DFS Limited,0,8365,404,1198,0.9251399040222168,True
Random,0,412,2001,4955,0.0,False
BFS,1,8076,117,234,0.12599468231201172,True
DFS,1,1728,915,2614,0.25188446044921875,True
UCS,1,4886,117,234,0.04199576377868652,True
A*,1,6378,117,234,0.05021953582763672,True
DFS Limited,1,1728,915,2614,0.23241329193115234,True
Random,1,410,2001,5017,0.0,False
BFS,2,5256,95,290,0.0666496753692627,True
DFS,2,361,361,1088,0.028130054473876953,True
UCS,2,7268,95,290,0.040015459060668945,True
A*,2,3510,95,290,0.03124713897705078,True
DFS Limited,2,361,361,1088,0.03124070167541504,True
Random,2,435,2001,4973,0.0,False
BFS,3,3763,76,154,0.059099674224853516,True
DFS,3,301,270,724,0.006455421447753906,True
UCS,3,2137,76,154,0.02193450927734375,True
A*,3,1757,76,154,0.015676021575927734,True
DFS Limited,3,301,270,724,0.0,True
Random,3,459,2001,4936,0.0,False
BFS,4,1602,42,112,0.015622138977050781,True
DFS,4,1178,1122,3268,0.1724083423614502,False
UCS,4,4959,42,112,0.06158733367919922,True
A*,4,834,42,112,0.008102655410766602,True
DFS Limited,4,1178,1122,3268,0.1822957992553711,False
Random,4,472,2001,4953,0.0005035400390625,False
BFS,5,6992,74,170,0.11419868469238281,True
DFS,5,1097,508,1452,0.0719308853149414,True
UCS,5,4186,74,170,0.03150320053100586,True
A*,5,3546,74,170,0.03127694129943848,True
DFS Limited,5,1097,508,1452,0.07810711860656738,True
Random,5,503,2001,4891,0.0,False
BFS,6,7379,91,127,0.13986468315124512,True
DFS,6,958,827,2323,0.1279613971710205,True
UCS,6,3944,91,127,0.04493546485900879,True
A*,6,4260,91,127,0.04685783386230469,True
DFS Limited,6,958,827,2323,0.10988759994506836,True
Random,6,488,2001,5033,0.0,False
BFS,7,4070,82,201,0.04686379432678223,True
DFS,7,1832,962,2763,0.15621352195739746,True
UCS,7,3688,82,201,0.03124260902404785,True
A*,7,2847,82,201,0.015621662139892578,True
DFS Limited,7,1832,962,2763,0.1616673469543457,True
Random,7,577,2001,4935,0.0,False
BFS,8,2017,35,77,0.013004779815673828,True
