algorithm_name,reinas,solución óptima,tiempo ejecución,iteraciones
Hill Climbing,10,2,0.015620708465576172,4
Hill Climbing,10,2,0.015621423721313477,3
Hill Climbing,10,2,0.0,4
Hill Climbing,10,1,0.0,3
Hill Climbing,10,2,0.015621185302734375,6
Hill Climbing,10,2,0.015621185302734375,6
Hill Climbing,10,3,0.015621662139892578,2
Hill Climbing,10,2,0.0,1
Hill Climbing,10,3,0.015620708465576172,4
Hill Climbing,10,2,0.015621185302734375,4
Hill Climbing,10,3,0.015621185302734375,4
Hill Climbing,10,2,0.0,3
Hill Climbing,10,1,0.0,5
Hill Climbing,10,1,0.015621185302734375,6
Hill Climbing,10,2,0.015622615814208984,4
Hill Climbing,10,3,0.0031998157501220703,1
Hill Climbing,10,1,0.0,1
Hill Climbing,10,3,0.015625476837158203,5
Hill Climbing,10,3,0.016448259353637695,3
Hill Climbing,10,3,0.009534120559692383,3
Hill Climbing,10,1,0.016010522842407227,4
Hill Climbing,10,3,0.0,1
Hill Climbing,10,2,0.015207290649414062,3
Hill Climbing,10,0,0.015781402587890625,6
Hill Climbing,10,1,0.0,3
Hill Climbing,10,3,0.0,5
Hill Climbing,10,3,0.0,3
Hill Climbing,10,1,0.01562190055847168,3
Hill Climbing,10,2,0.015606403350830078,1
Hill Climbing,10,2,0.012004375457763672,5
Hill Climbing,8,2,0.0,2
Hill Climbing,8,2,0.0,3
Hill Climbing,8,2,0.015617132186889648,3
Hill Climbing,8,1,0.0,3
Hill Climbing,8,1,0.0,7
Hill Climbing,8,4,0.015621185302734375,1
Hill Climbing,8,2,0.0,3
Hill Climbing,8,1,0.014537811279296875,5
Hill Climbing,8,2,0.0,1
Hill Climbing,8,1,0.0,4
Hill Climbing,8,3,0.0,4
Hill Climbing,8,1,0.0,4
Hill Climbing,8,0,0.0,5
Hill Climbing,8,1,0.0,6
Hill Climbing,8,1,0.0,6
Hill Climbing,8,1,0.015618085861206055,4
Hill Climbing,8,1,0.015621423721313477,5
Hill Climbing,8,1,0.0,3
Hill Climbing,8,1,0.0,2
Hill Climbing,8,1,0.0,4
Hill Climbing,8,2,0.0045239925384521484,3
Hill Climbing,8,2,0.0021708011627197266,1
Hill Climbing,8,1,0.006040096282958984,3
Hill Climbing,8,2,0.0022318363189697266,3
Hill Climbing,8,1,0.008002042770385742,5
Hill Climbing,8,4,0.008060693740844727,1
Hill Climbing,8,1,0.0,3
Hill Climbing,8,2,0.01797008514404297,4
Hill Climbing,8,3,0.008001089096069336,1
Hill Climbing,8,2,0.0,2
Hill Climbing,4,1,0.0,1
Hill Climbing,4,1,0.0,1
Hill Climbing,4,1,0.0,3
Hill Climbing,4,1,0.0,4
Hill Climbing,4,2,0.0,1
Hill Climbing,4,1,0.0,1
Hill Climbing,4,1,0.0,1
Hill Climbing,4,2,0.0,1
Hill Climbing,4,0,0.0,1
Hill Climbing,4,2,0.0,1
Hill Climbing,4,1,0.0,1
Hill Climbing,4,0,0.0,4
Hill Climbing,4,0,0.0,4
Hill Climbing,4,1,0.0,4
Hill Climbing,4,1,0.0,3
Hill Climbing,4,1,0.0,1
Hill Climbing,4,1,0.0,3
Hill Climbing,4,2,0.0,1
Hill Climbing,4,2,0.0,1
Hill Climbing,4,0,0.0,1
Hill Climbing,4,1,0.0,3
Hill Climbing,4,1,0.0,3
Hill Climbing,4,1,0.0,3
Hill Climbing,4,2,0.0,1
Hill Climbing,4,1,0.0,4
Hill Climbing,4,1,0.0,1
Hill Climbing,4,1,0.0,3
Hill Climbing,4,1,0.0,1
Hill Climbing,4,0,0.0,4
Hill Climbing,4,1,0.0,1
