algorithm_name,reinas,solución óptima,tiempo ejecución,iteraciones
Simulated Annealing,10,1,0.028133869171142578,584
Simulated Annealing,10,0,0.0,260
Simulated Annealing,10,0,0.015621185302734375,363
Simulated Annealing,10,0,0.015621423721313477,208
Simulated Annealing,10,0,0.015621423721313477,347
Simulated Annealing,10,1,0.015621423721313477,584
Simulated Annealing,10,0,0.0,220
Simulated Annealing,10,0,0.0,171
Simulated Annealing,10,1,0.015621185302734375,584
Simulated Annealing,10,1,0.015622138977050781,584
Simulated Annealing,10,0,0.015621185302734375,486
Simulated Annealing,10,0,0.015621423721313477,559
Simulated Annealing,10,0,0.015621423721313477,214
Simulated Annealing,10,0,0.015621185302734375,259
Simulated Annealing,10,0,0.0,222
Simulated Annealing,10,0,0.023308277130126953,496
Simulated Annealing,10,0,0.0067653656005859375,232
Simulated Annealing,10,1,0.014504432678222656,584
Simulated Annealing,10,1,0.015621423721313477,584
Simulated Annealing,10,0,0.015653133392333984,528
Simulated Annealing,10,0,0.024501323699951172,385
Simulated Annealing,10,0,0.016631126403808594,200
Simulated Annealing,10,0,0.016411542892456055,268
Simulated Annealing,10,0,0.0,222
Simulated Annealing,10,0,0.0140380859375,214
Simulated Annealing,10,1,0.03127694129943848,584
Simulated Annealing,10,0,0.031241893768310547,544
Simulated Annealing,10,0,0.0,239
Simulated Annealing,10,0,0.0,221
Simulated Annealing,10,0,0.003748655319213867,215
Simulated Annealing,8,0,0.0,144
Simulated Annealing,8,0,0.01566004753112793,124
Simulated Annealing,8,0,0.0,345
Simulated Annealing,8,0,0.0,286
Simulated Annealing,8,0,0.015620708465576172,303
Simulated Annealing,8,0,0.0,179
Simulated Annealing,8,0,0.001566171646118164,226
Simulated Annealing,8,0,0.0,128
Simulated Annealing,8,0,0.0,89
Simulated Annealing,8,0,0.0,252
Simulated Annealing,8,0,0.015657901763916016,57
Simulated Annealing,8,0,0.0,34
Simulated Annealing,8,0,0.0,42
Simulated Annealing,8,0,0.01562190055847168,324
Simulated Annealing,8,0,0.015621423721313477,145
Simulated Annealing,8,0,0.0,245
Simulated Annealing,8,0,0.0,441
Simulated Annealing,8,0,0.0,305
Simulated Annealing,8,0,0.015589237213134766,140
Simulated Annealing,8,0,0.0,48
Simulated Annealing,8,0,0.02332615852355957,273
Simulated Annealing,8,0,0.0031201839447021484,113
Simulated Annealing,8,0,0.0,137
Simulated Annealing,8,0,0.008032083511352539,169
Simulated Annealing,8,0,0.006006717681884766,79
Simulated Annealing,8,0,0.0,159
Simulated Annealing,8,0,0.0,42
Simulated Annealing,8,0,0.0,203
Simulated Annealing,8,0,0.014420747756958008,482
Simulated Annealing,8,0,0.0035202503204345703,239
Simulated Annealing,4,0,0.0015208721160888672,11
Simulated Annealing,4,0,0.0,3
Simulated Annealing,4,0,0.0,10
Simulated Annealing,4,0,0.0,13
Simulated Annealing,4,0,0.0,4
Simulated Annealing,4,0,0.0,3
Simulated Annealing,4,0,0.0,13
Simulated Annealing,4,0,0.0,24
Simulated Annealing,4,0,0.0,0
Simulated Annealing,4,0,0.0,38
Simulated Annealing,4,0,0.0030405521392822266,13
Simulated Annealing,4,0,0.0,25
Simulated Annealing,4,0,0.0,1
Simulated Annealing,4,0,0.0,5
Simulated Annealing,4,0,0.0,2
Simulated Annealing,4,0,0.0,3
Simulated Annealing,4,0,0.0,2
Simulated Annealing,4,0,0.0,67
Simulated Annealing,4,0,0.0,6
Simulated Annealing,4,0,0.0,0
Simulated Annealing,4,0,0.0,12
Simulated Annealing,4,0,0.0,8
Simulated Annealing,4,0,0.0,10
Simulated Annealing,4,0,0.0,6
Simulated Annealing,4,0,0.0,9
Simulated Annealing,4,0,0.0,11
Simulated Annealing,4,0,0.0,2
Simulated Annealing,4,0,0.0,17
Simulated Annealing,4,0,0.0,3
Simulated Annealing,4,0,0.0,3
