algorithm_name,reinas,solución óptima,tiempo ejecución,iteraciones
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Backtraking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
Forward checking,4,"[1, 3, 0, 2]",0.0,9
